iter	RMSE
287	1.613149399
288	1.609547096
289	1.607398129
290	1.604296317
291	1.602024204
292	1.59944484
293	1.597125335
294	1.594844554
295	1.592223757
296	1.586234974
297	1.582793534
298	1.580354527
299	1.57877712
300	1.575009968
301	1.572868684
302	1.570562225
303	1.568123688
304	1.564245356
305	1.562488401
306	1.560426221
307	1.555208062
308	1.552603295
309	1.549059612
310	1.54687258
311	1.544522406
312	1.543645823
313	1.541793048
314	1.536851661
315	1.535855537
316	1.533973395
317	1.533492062
318	1.529011063
319	1.525647879
320	1.523854296
321	1.519933852
322	1.518372063
323	1.516783572
324	1.513987356
325	1.512348394
326	1.510077041
327	1.50861942
328	1.506167546
329	1.505367087
330	1.503643277
331	1.50217663
332	1.498295238
333	1.496623634
334	1.494554171
335	1.492672108
336	1.487530614
337	1.485822603
338	1.483842077
339	1.480969139
340	1.479972883
341	1.477204046
342	1.474019343
343	1.472124327
344	1.469424768
345	1.467239267
346	1.46547137
347	1.464078696
348	1.461178571
349	1.459094243
350	1.455153983
351	1.453261243
352	1.450801539
353	1.446494597
354	1.44449673
355	1.441409989
356	1.439630354
357	1.436455448
358	1.432911819
359	1.43030523
360	1.42866748
361	1.426259925
362	1.423306791
363	1.420118156
364	1.417667605
365	1.41664799
366	1.414487954
367	1.412581953
368	1.411640771
369	1.408556989
370	1.406865716
371	1.405217658
372	1.402350834
373	1.400920987
374	1.399307364
375	1.398056089
376	1.396466686
377	1.393973558
378	1.391781926
379	1.390821946
380	1.389209568
381	1.386699773
382	1.384203369
383	1.382460017
384	1.380002801
385	1.377781879
386	1.375035496
387	1.374803924
388	1.372207947
389	1.370544423
390	1.36886036
391	1.366819196
392	1.363496139
393	1.360675074
394	1.359189532
395	1.357016768
396	1.354927596
397	1.353648735
398	1.352269737
399	1.351144442
400	1.348652148
401	1.347052838
402	1.344963836
403	1.342950809
404	1.341382117
405	1.340102826
406	1.338149334
407	1.334812279
408	1.332017782
409	1.331004307
410	1.329864685
411	1.328079572
412	1.323247107
413	1.322590578
414	1.321045027
415	1.318792308
416	1.317290114
417	1.31520745
418	1.314080507
419	1.311700981
420	1.309670289
421	1.308529112
422	1.30511427
423	1.304024098
424	1.303800965
425	1.302327445
426	1.302104839
427	1.300687539
428	1.300013855
429	1.298212593
430	1.297965766
431	1.297017779
432	1.295933356
433	1.293643267
434	1.29258482
435	1.290305492
436	1.289197014
437	1.287485967
438	1.287340458
439	1.282228372
440	1.281303373
441	1.278833705
442	1.278039393
443	1.273613383
444	1.27279415
445	1.271824535
446	1.270264782
447	1.267858385
448	1.266460238
449	1.266271428
450	1.264223519
451	1.264024952
452	1.262341747
453	1.261530063
454	1.259342731
455	1.259186765
456	1.25620629
457	1.254067371
458	1.25300961
459	1.251274978
460	1.25011261
461	1.248467876
462	1.248283727
463	1.24742442
464	1.245940365
465	1.24468787
466	1.241745003
467	1.240231997
468	1.235434156
469	1.233463373
470	1.232528953
471	1.230672163
472	1.22640148
473	1.223482358
474	1.221610669
475	1.22063227
476	1.219189038
477	1.217603029
478	1.21741827
479	1.21651949
480	1.213305655
481	1.210443892
482	1.207348461
483	1.205377052
484	1.202492968
485	1.200736555
486	1.200521336
487	1.198502581
488	1.196989991
489	1.193496614
490	1.191450762
491	1.188122387
492	1.186536524
493	1.18538677
494	1.18446798
495	1.181347875
496	1.179449305
497	1.177449388
498	1.177282605
499	1.173820692
500	1.17176484
501	1.170320372
502	1.166228229
503	1.165399356
504	1.162458381
505	1.161339703
506	1.160639156
507	1.159051531
508	1.157248034
509	1.156302721
510	1.155487219
511	1.153780597
512	1.152183118
513	1.150396904
514	1.149406553
515	1.148295091
516	1.145260295
517	1.145120583
518	1.143950941
519	1.143168065
520	1.142400247
521	1.139528448
522	1.139359654
523	1.137583165
524	1.135269516
525	1.1323596
526	1.132131017
527	1.129770233
528	1.127541463
529	1.124747731
530	1.122446655
531	1.121641979
532	1.121413035
533	1.120136685
534	1.117325959
535	1.115431832
536	1.11445176
537	1.113586672
538	1.112278918
539	1.109658196
540	1.108057691
541	1.10532261
542	1.103586292
543	1.101765755
544	1.10077066
545	1.099629642
546	1.098180943
547	1.097439616
548	1.096058258
549	1.095790661
550	1.094766274
551	1.093690155
552	1.091896322
553	1.090949042
554	1.089143252
555	1.088430792
556	1.086131955
557	1.082776795
558	1.080685344
559	1.079144044
560	1.078147319
561	1.076362222
562	1.074610028
563	1.074389297
564	1.071637564
565	1.071426608
566	1.070402628
567	1.068726034
568	1.068530977
569	1.066529078
570	1.065717678
571	1.063770195
572	1.062526039
573	1.062366999
574	1.061783712
575	1.060701661
576	1.059787805
577	1.059051381
578	1.05677899
579	1.056603683
580	1.056471887
581	1.056340084
582	1.053350741
583	1.052361211
584	1.04893605
585	1.047766969
586	1.046453895
587	1.045039371
588	1.044107327
589	1.042443742
590	1.04237892
591	1.041604058
592	1.039886628
593	1.0390716
594	1.037971175
595	1.03621295
596	1.035158139
597	1.034267961
598	1.031636255
599	1.029243372
600	1.029109321
601	1.028983503
602	1.027092126
603	1.026521203
604	1.026372878
605	1.025323433
606	1.022831178
607	1.021199394
608	1.018234045
609	1.016580827
610	1.016499464
611	1.015718871
612	1.01462087
613	1.013891744
614	1.012353323
615	1.010855911
616	1.009917388
617	1.009784071
618	1.007404611
619	1.005088109
620	1.004145756
621	1.002886927
622	1.001823715
623	1.000858991
624	0.9999937787
625	0.996839674
626	0.9944111496
627	0.9929582505
628	0.9912103735
629	0.9910433524
630	0.9895873833
631	0.9879358908
632	0.9871850194
633	0.9864627822
634	0.984422037
635	0.9820042076
636	0.9797110245
637	0.976855899
638	0.9750480381
639	0.974706614
640	0.9732447568
641	0.9729224587
642	0.9724086367
643	0.9703461712
644	0.9688816787
645	0.9677137091
646	0.9662158695
647	0.9647802186
648	0.963010012
649	0.962021716
650	0.9612003099
651	0.9598619517
652	0.9592447816
653	0.9588000367
654	0.9574519697
655	0.9550638011
656	0.9537287991
657	0.95167474
658	0.9497657136
659	0.9489749714
660	0.9481586727
661	0.9466373835
662	0.9450989952
663	0.9432404008
664	0.9407898768
665	0.9406184487
666	0.9399139814
667	0.9379978135
668	0.9363765071
669	0.9357396601
670	0.933850181
671	0.9324832551
672	0.9308137409
673	0.9299496314
674	0.9276097053
675	0.9262220468
676	0.9257016021
677	0.9243002066
678	0.9229978651
679	0.9221937691
680	0.9207153499
681	0.9189880734
682	0.9186706134
683	0.9184700378
684	0.9177848639
685	0.9177191454
686	0.9169431319
687	0.9161117105
688	0.9147483015
689	0.9138864264
690	0.9132594184
691	0.910977766
692	0.9104581125
693	0.9091453699
694	0.9078065834
695	0.9073058374
696	0.9072652497
697	0.9070850165
698	0.9061573636
699	0.9042311648
700	0.9024226439
701	0.9022486957
702	0.9019812728
703	0.9011631662
704	0.899459771
705	0.898956183
706	0.896784259
707	0.8948965536
708	0.8941345341
709	0.8935163363
710	0.8910877044
711	0.890952868
712	0.8904026569
713	0.8901993135
714	0.8893782905
715	0.8877960832
716	0.8861766501
717	0.8843705595
718	0.8831723152
719	0.8823606384
720	0.8810789984
721	0.8802914413
722	0.8792029128
723	0.8789213524
724	0.877260365
725	0.8770612798
726	0.8754299385
727	0.8723377968
728	0.8710185685
729	0.8703358118
730	0.8695117224
731	0.8684089142
732	0.8669591256
733	0.8664183213
734	0.8647231013
735	0.8628443895
736	0.8620627549
737	0.8611142475
738	0.860552689
739	0.8585354992
740	0.8584608315
741	0.8578559871
742	0.8564103253
743	0.8558392362
744	0.8554025848
745	0.8536564289
746	0.8533867315
747	0.8521813941
748	0.8510204485
749	0.8509257716
750	0.8488642876
751	0.8487559366
752	0.8476029438
753	0.8474153443
754	0.8465625847
755	0.846301905
756	0.8457716298
757	0.8454470091
758	0.8446456162
759	0.8430744309
760	0.8413608883
761	0.8399367705
762	0.8390217523
763	0.8389850862
764	0.8372726669
765	0.8361671423
766	0.8352782889
767	0.8343016988
768	0.834023946
769	0.8327969065
770	0.8320162641
771	0.8319636665
772	0.8312037871
773	0.8296209791
774	0.8291160607
775	0.8283103899
776	0.8281106609
777	0.827408671
778	0.8258012241
779	0.8247242778
780	0.8236110623
781	0.823211137
782	0.822108502
783	0.8213387353
784	0.8207258104
785	0.8201300782
786	0.8185554218
787	0.8170819345
788	0.8161467677
789	0.8158479612
790	0.8142764802
791	0.813625425
792	0.8127570133
793	0.8127177979
794	0.8117552733
795	0.8093848657
796	0.8089193084
797	0.8075976864
798	0.8070638013
799	0.8056139743
800	0.8046996669
801	0.804385806
802	0.8031987859
803	0.8024164724
804	0.8017047426
805	0.800888525
806	0.7995145069
807	0.7990205982
808	0.7982714329
809	0.7970211601
810	0.7949695401
811	0.7939338216
812	0.7928963068
813	0.7928300628
814	0.7908629719
815	0.7896133445
816	0.7885173791
817	0.7884191716
818	0.7872753402
819	0.7871092992
820	0.7863720207
821	0.7849418192
822	0.7837916025
823	0.7836149474
824	0.7833883688
825	0.7818507192
826	0.7817955875
827	0.7816452199
828	0.7805164472
829	0.7793968441
830	0.7783978471
831	0.7770367695
832	0.7760887298
833	0.7748735269
834	0.7736879474
835	0.7735917911
836	0.7731320722
837	0.7720343496
838	0.7708620866
839	0.7695625684
840	0.7688575466
841	0.7684025558
842	0.7681557709
843	0.7666079586
844	0.7652802326
845	0.7645005462
846	0.7633089064
847	0.7632766493
848	0.7621548941
849	0.7620201269
850	0.7611641625
851	0.7604032117
852	0.7591629202
853	0.7585238505
854	0.7573959344
855	0.7568710311
856	0.7567572536
857	0.7558500968
858	0.755240063
859	0.7546002676
860	0.7545024213
861	0.7536535603
862	0.7524601768
863	0.7517443761
864	0.7513099459
865	0.7501218199
866	0.7487498293
867	0.7480041666
868	0.747098154
869	0.7467109553
870	0.7466207367
871	0.746026419
872	0.745921107
873	0.7456601103
874	0.7451144733
875	0.7450851194
876	0.7441826213
877	0.7441336159
878	0.7438496515
879	0.7437407557
880	0.7428257392
881	0.7418834182
882	0.7409223376
883	0.7396217943
884	0.7395167904
885	0.7381503583
886	0.7376329415
887	0.7365508649
888	0.7358135281
889	0.7356859371
890	0.7354288125
891	0.7342460244
892	0.7327027606
893	0.7321094859
894	0.7311036851
895	0.7299774976
896	0.7293539952
897	0.7292986016
898	0.7285955328
899	0.7274244778
900	0.727065337
901	0.726376991
902	0.7254343951
903	0.7239956421
904	0.7238251384
905	0.7229467894
906	0.7227445668
907	0.7226601585
908	0.7208695738
909	0.7197712931
910	0.7196492205
911	0.7187302909
912	0.7178565607
913	0.7166763254
914	0.7156644551
915	0.713831065
916	0.712488815
917	0.7122803209
918	0.7116981966
919	0.7107505776
920	0.7099066605
921	0.7094603019
922	0.7080878769
923	0.7080141842
924	0.7074585398
925	0.7063403666
926	0.7057635189
927	0.703975556
928	0.703221202
929	0.7030049259
930	0.7025369053
931	0.7012181552
932	0.6997750846
933	0.698623935
934	0.6984289328
935	0.6973723309
936	0.6966758466
937	0.6957664354
938	0.6955807353
939	0.6945993097
940	0.6943973711
941	0.6931856455
942	0.6926296609
943	0.6921201201
944	0.6916740005
945	0.6915396882
946	0.6910656503
947	0.6909339378
948	0.6896228214
949	0.6878942294
950	0.6864705659
951	0.6859602837
952	0.6850766179
953	0.6843244726
954	0.6829796343
955	0.6821713116
956	0.6820636189
957	0.6815357776
958	0.6807337788
959	0.6805290229
960	0.6803956425
961	0.68031003
962	0.6796072646
963	0.6795305804
964	0.678895038
965	0.677792986
966	0.6765061564
967	0.6761486357
968	0.6750140423
969	0.6738245278
970	0.6730091897
971	0.6718597326
972	0.6706384672
973	0.6703147179
974	0.6697140103
975	0.6686845576
976	0.667880962
977	0.6671728133
978	0.6662521588
979	0.6653569493
980	0.6649953402
981	0.6648378381
982	0.6642434128
983	0.6641492421
984	0.6636172006
985	0.663019269
986	0.6622056234
987	0.6612620037
988	0.6607332624
989	0.6597878374
990	0.6585891065
991	0.6583040143
992	0.6573392087
993	0.6565998588
994	0.6560795045
995	0.6551823624
996	0.6548006912
997	0.6536793681
998	0.6535237332
999	0.6519497509
